-,-,-
98, -30, 1004
45, -21, 1023
45, -21, 1023
70, -4, 1027
172, 2, 1017
318, 5, 1018
471, 10, 1012
471, 10, 1012
671, -31, 1047
859, -51, 989
761, -55, 1000
659, -56, 999
608, -45, 993
608, -45, 993
683, -65, 908
757, -63, 970
694, -10, 988
547, 66, 1035
564, 129, 958
564, 129, 958
686, 167, 893
647, 186, 966
527, 193, 903
383, 197, 928
167, 288, 779
167, 288, 779
-49, 378, 312
-334, 424, 947
-551, 450, 934
-560, 491, 947
-873, 500, 977
-1020, 490, 969
-1092, 449, 917
-1092, 449, 917
-,-,-
600, -135, 1103
593, -153, 905
717, -99, 929
717, -99, 929
931, -46, 983
1009, -58, 973
956, -92, 983
814, -95, 930
853, -43, 932
853, -43, 932
942, 32, 1005
987, 158, 998
969, 171, 831
791, 231, 972
634, 293, 926
634, 293, 926
475, 369, 850
228, 467, 699
-48, 526, 717
-97, 533, 900
-284, 587, 658
-284, 587, 658
-829, 597, 162
-1048, 553, 951
-785, 554, 763
-830, 554, 780
-1035, 574, 1006
-,-,-
142, 64, 1022
440, -1, 975
712, 14, 991
712, 14, 991
837, 45, 1025
884, 6, 973
883, -58, 993
923, -66, 980
923, -66, 980
1008, -22, 900
979, 0, 889
793, 31, 968
587, 87, 969
587, 87, 969
484, 135, 929
576, 165, 983
404, 234, 907
147, 322, 977
-121, 395, 491
-121, 395, 491
52, 410, 406
-148, 442, 711
-570, 508, 888
-849, 563, 880
-902, 553, 889
-966, 490, 988
-966, 490, 988
-,-,-
546, -20, 1039
690, -53, 988
615, -108, 918
464, -126, 1018
625, -68, 965
734, 14, 972
734, 14, 972
836, 67, 930
864, 92, 935
931, 108, 907
801, 151, 1048
801, 151, 1048
745, 185, 955
700, 214, 988
652, 261, 885
438, 299, 859
121, 361, 814
121, 361, 814
-31, 457, 651
-242, 479, 554
-556, 495, 658
-739, 566, 822
-867, 535, 962
-1011, 563, 888
-1342, 533, 935
-,-,-
423, -31, 980
397, -33, 1052
613, -22, 998
613, -22, 998
835, -16, 1002
1019, -13, 995
993, 0, 979
898, 30, 972
898, 30, 972
872, 55, 984
962, 47, 964
961, 57, 1031
845, 104, 949
845, 104, 949
686, 212, 938
543, 310, 941
501, 389, 839
409, 443, 887
215, 544, 447
215, 544, 447
-138, 600, 881
-482, 647, 739
-601, 634, 656
-719, 628, 1002
-1175, 618, 793
-1299, 641, 836
-,-,-
330, -114, 916
256, 59, 618
295, 35, 1068
487, -5, 1025
558, -86, 1041
558, -86, 1041
686, -97, 987
806, -97, 992
947, -93, 1019
959, -69, 987
876, -32, 985
824, -2, 987
824, -2, 987
883, 28, 974
938, 32, 1025
832, 100, 1010
637, 225, 970
637, 225, 970
524, 312, 934
488, 368, 742
290, 432, 888
-8, 511, 735
-8, 511, 721
-184, 506, 721
-429, 519, 823
-701, 505, 997
-802, 498, 1013
-856, 521, 956
-1060, 547, 838
-,-,-
548, -188, 42
548, -188, 42
320, 4, 1226
752, -34, 788
506, -114, 987
496, -142, 1049
751, -119, 939
931, -82, 1006
931, -82, 1006
1002, -35, 1000
985, -4, 965
906, 28, 1020
820, 50, 1018
808, 67, 997
808, 67, 997
801, 92, 982
784, 185, 982
644, 224, 814
553, 309, 797
435, 418, 917
435, 418, 917
348, 530, 1004
238, 601, 845
46, 671, 666
-245, 751, 750
-611, 761, 1026
-611, 761, 918
-885, 709, 918
-1134, 671, 885
-,-,-
539, -63, 985
682, -36, 1023
682, -36, 1023
609, -53, 1021
738, -52, 1007
892, -41, 983
932, -4, 1032
1058, -28, 1007
1107, -36, 1042
971, 21, 1004
971, 21, 1004
907, 97, 1027
867, 168, 988
833, 183, 1058
650, 230, 917
393, 292, 1003
248, 355, 951
248, 355, 951
106, 438, 955
-175, 507, 896
-440, 526, 863
-652, 546, 896
-930, 549, 981
-1234, 587, 986
-1321, 640, 1059
-,-,-
478, -46, 1059
478, -46, 1059
808, -34, 1240
493, 60, 1130
422, 98, 1061
904, 58, 1187
1289, 23, 1128
1147, 84, 883
1147, 84, 883
865, 118, 745
636, 162, 803
567, 195, 764
381, 245, 794
-48, 224, 868
-48, 224, 868
415, 411, 1091
-133, 429, 975
96, 473, 912
-201, 559, 1124
-409, 573, 1378
-882, 573, 1296
-912, 545, 1296
-,-,-
435, -130, 874
585, -138, 901
656, -150, 1107
668, -115, 1040
250, 10, 1089
250, 10, 1089
1400, -60, 1029
1186, -65, 1179
929, -47, 1105
887, -13, 764
943, 11, 819
1183, 65, 1012
1183, 65, 1012
1371, 196, 1071
1194, 261, 773
1005, 441, 728
965, 498, 1068
466, 680, 1018
85, 852, 1057
-85, 904, 1028
-570, 927, 976
-570, 927, 976
-1023, 919, 1037
-1129, 915, 1120
-974, 876, 1149
-,-,-
649, -32, 939
649, -32, 939
636, 20, 894
695, -64, 1091
898, -159, 1128
1385, -177, 1139
791, -43, 834
646, -29, 751
900, -24, 666
900, -24, 666
976, -35, 891
951, -11, 903
669, 140, 738
604, 138, 1002
1026, 271, 1068
1030, 434, 695
1030, 434, 695
477, 640, 918
396, 692, 997
302, 753, 766
2, 880, 931
2, 880, 931
-450, 919, 1036
-685, 922, 974
-999, 921, 1174
-1496, 921, 992
-,-,-
570, -225, 918
616, -187, 986
644, -166, 1151
454, -39, 592
454, -39, 592
527, 234, 849
1664, 35, 1359
1391, -61, 1491
996, -19, 1046
952, -24, 758
1172, 32, 724
1172, 32, 724
1317, 131, 756
999, 267, 787
570, 368, 663
458, 457, 641
675, 602, 804
675, 602, 804
128, 737, 1043
-114, 963, 969
278, 927, 450
-349, 1082, 885
-989, 1082, 1121
-991, 954, 1174
-1279, 906, 1515
-1550, 879, 1434
-,-,-
742, -150, 1057
840, -128, 868
1045, -130, 887
800, -137, 1176
729, -125, 1194
729, -125, 1194
1012, -78, 903
928, 8, 907
940, 92, 975
1029, 182, 736
1011, 266, 1078
793, 256, 1287
631, 426, 932
631, 426, 932
385, 484, 967
499, 537, 1013
12, 642, 1025
-172, 642, 763
-73, 671, 1160
-73, 671, 1160
-,-,-
503, -101, 1121
628, -106, 1105
700, -80, 979
882, -58, 906
1159, -33, 886
1258, -31, 882
1288, -43, 772
1288, -43, 772
1108, -6, 648
760, 5, 984
767, 83, 1126
789, 175, 1021
848, 175, 1199
866, 175, 865
866, 308, 865
385, 383, 956
408, 362, 1017
221, 452, 1023
-318, 605, 1045
-752, 688, 988
-954, 739, 1037
-901, 777, 1027
-,-,-
343, 7, 874
343, 7, 874
833, 55, 898
1083, 144, 1068
430, -90, 796
1002, 327, 1131
1574, 327, 800
1574, 154, 800
1185, 221, 966
1280, 120, 1023
1139, 180, 1044
963, 272, 979
698, 298, 969
393, 583, 940
321, 546, 787
321, 546, 787
-303, 551, 1014
-196, 562, 931
-302, 685, 978
-729, 810, 1003
-1249, 861, 838
-,-,-
890, -134, 992
933, -202, 1024
836, -178, 960
782, -116, 982
898, -95, 933
898, -95, 933
1204, -71, 847
1448, -27, 798
1469, 55, 834
1400, 157, 778
1314, 238, 797
1150, 343, 834
1150, 343, 834
852, 454, 812
458, 526, 815
170, 603, 846
-151, 703, 1013
-547, 747, 1141
-816, 750, 1150
-1402, 674, 1128
-56, 632, 1361
-56, 632, 1361
-,-,-
785, -137, 908
785, -137, 908
828, -139, 703
891, -66, 919
1101, -42, 1216
1187, -92, 1274
1352, -64, 1099
1581, 11, 831
1625, 61, 685
1380, 106, 683
1380, 106, 683
1159, 193, 716
1076, 329, 714
1027, 511, 577
890, 594, 979
611, 706, 1109
10, 911, 813
10, 911, 813
3, 983, 1006
-152, 1067, 1207
-346, 1119, 1455
-663, 1154, 1425
-,-,-
558, -172, 919
594, -203, 1013
619, -42, 91
482, -167, 1135
482, -167, 1135
489, 144, 1515
1848, 120, 1056
1030, 130, 960
1481, 27, 803
1417, 8, 824
1062, 92, 686
939, 204, 758
939, 204, 758
1060, 308, 946
983, 389, 1175
687, 534, 1022
498, 616, 893
532, 771, 970
261, 833, 772
261, 833, 772
-111, 975, 930
-360, 1065, 1055
-828, 1149, 986
-,-,-
780, -109, 982
897, -209, 879
807, -172, 1045
761, -129, 988
841, -104, 809
991, -121, 818
991, -121, 818
1070, -110, 1016
967, -70, 1148
835, -18, 918
976, -20, 807
1146, 32, 803
834, 111, 1279
698, 200, 965
698, 200, 965
925, 278, 850
778, 400, 1090
445, 566, 1122
299, 719, 933
178, 832, 817
178, 832, 892
-243, 977, 892
-722, 1074, 1097
-1207, 1015, 908
-,-,-
1010, -112, 1311
1171, -84, 936
1337, -112, 803
1359, -79, 1060
1270, -26, 1165
1254, 30, 995
1100, 139, 1034
