-,-,-
-137, -870,998, -722
-69, 18,874
,18 
-9 91
 -1 9
480, -1413, -1052
548, -597, -1014
542, -71, -881
509, 245, -749
509, 245, -549
475, 620, -549
454, 1051, -255
426, 1507, -10
440, 1984, 365
372, 1997, 744
496, 1997, 817
830, 1857, 881
1049, 1277, 675
1207, 565, 5
1207, 565, 5
1177, -296, -601
975, -1008, -882
934, -1735, -1312
940, -1998, -1779
-,-,-
46, -915, -301
48, -1040, -398
94, -1385, -472
135, -1941, -674
123, -1998, -1007
170, -1998, -820
259, -1998, -581
385, -1998, -566
524, -1998, -600
610, -1707, -785
624, -957, -944
620, -281, -926
585, 176, -786
545, 423, -588
502, 763, -332
466, 983, -14
466, 983, -14
468, 1274, 276
430, 1805, 576
442, 1997, 1079
512, 1997, 1415
720, 1997, 1196
1035, 1928, 826
1288, 1355, 279
1360, 773, -600
1372, 162, -1198
1607, -835, -1774
-,-,-
142, -1090, -440
145, -1316, -518
203, -1720, -530
251, -1998, -670
268, -1998, -758
265, -1998, -998
343, -1998, -1040
460, -1998, -1036
581, -1938, -1069
635, -1269, -1123
626, -560, -1077
624, -97, -939
646, 88, -772
638, 399, -554
584, 806, -234
584, 806, -234
478, 1195, 49
384, 1353, 264
382, 1453, 495
459, 1847, 997
557, 1997, 1457
707, 1997, 1269
1052, 1997, 680
1447, 1823, 143
1747, 1128, -356
1848, 515, -766
1848, 515, -766
-,-,-
213, -1186, -560
277, -1595, -583
287, -1961, -594
270, -1998, -855
303, -1998, -1002
356, -1998, -861
391, -1998, -844
459, -1998, -919
520, -1630, -910
548, -1066, -882
578, -610, -827
606, -151, -754
553, 379, -546
511, 690, -418
508, 1029, -262
585, 1376, 154
673, 1830, 774
673, 1830, 774
699, 1997, 1240
724, 1997, 1153
889, 1997, 722
1188, 1748, 547
1461, 1124, 421
1679, 574, 40
1793, -1, -703
-,-,-
65, -967, -314
103, -1136, -335
75, -1174, -594
97, -1390, -654
175, -1913, -668
193, -1998, -905
184, -1998, -1238
246, -1998, -1024
323, -1998, -721
344, -1998, -830
403, -1823, -1009
477, -1322, -904
494, -669, -600
387, -95, -442
237, 411, -447
151, 744, -330
143, 879, 55
143, 879, 55
135, 1191, 426
40, 1844, 483
-72, 1997, 180
1, 1997, 28
1, 1997, 28
259, 1925, 0
523, 1355, 4
-,-,-
90, -1084, -799
84, -1349, -957
119, -1752, -993
142, -1998, -946
128, -1998, -935
84, -1998, -1050
96, -1998, -1069
146, -1998, -941
200, -1836, -699
220, -1366, -510
216, -1015, -421
202, -727, -372
166, -490, -345
109, -388, -363
47, -115, -378
47, -115, -378
-5, 281, -294
-46, 648, -101
-49, 877, 85
-42, 1046, 111
-105, 1442, -27
-142, 1882, -221
-57, 1997, -381
165, 1802, -455
165, 1802, -455
386, 1215, -454
-,-,-
142, -1072, -559
173, -1275, -628
227, -1570, -771
257, -1928, -894
267, -1998, -837
229, -1998, -921
208, -1998, -1097
249, -1998, -973
300, -1998, -920
358, -1968, -830
377, -1550, -788
354, -1024, -739
290, -532, -672
164, -72, -585
25, 351, -581
-41, 592, -405
-39, 680, 8
-39, 680, 8
-86, 876, 250
-125, 1220, 292
-129, 1439, 171
-79, 1506, 70
-25, 1492, 8
33, 1560, -147
33, 1560, -147
135, 1601, -342
324, 1283, -450
505, 707, -416
600, 178, -365
658, -265, -484
734, -862, -787
847, -1781, -1055
800, -1998, -836
623, -1998, -278
495, -1998, -751
332, -1998, -1417
-,-,-
241, -1998, -979
253, -1998, -1048
270, -1998, -979
266, -1998, -1097
346, -1998, -1123
442, -1998, -1047
451, -1074, -963
383, -488, -894
383, -488, -894
319, -54, -756
285, 232, -579
254, 413, -480
183, 641, -399
135, 1158, -164
58, 1686, 65
-5, 1978, 63
-5, 1978, 63
-24, 1997, 196
61, 1997, 306
266, 1853, 255
513, 1354, 229
654, 886, 60
654, 886, 60
723, 528, -139
788, 138, -432
821, -491, -876
789, -1214, -1267
-,-,-
68, -1159, -744
71, -1539, -825
106, -1935, -971
124, -1998, -1122
137, -1998, -1185
120, -1998, -1249
145, -1998, -1207
178, -1998, -1080
203, -1876, -823
194, -1414, -655
155, -1006, -652
99, -671, -608
80, -410, -458
23, -86, -512
-23, 337, -511
-23, 337, -511
-76, 761, -238
-112, 1143, -35
-94, 1370, 90
-64, 1544, 24
-25, 1674, 23
56, 1789, 8
56, 1789, 8
172, 1709, -73
317, 1410, -158
471, 963, -168
560, 523, -206
596, 73, -371
-,-,-
175, -1309, -539
208, -1625, -609
237, -1947, -647
249, -1998, -659
271, -1998, -714
313, -1998, -807
351, -1998, -885
391, -1998, -951
467, -1992, -925
532, -1681, -888
536, -1092, -865
472, -503, -831
358, -100, -766
358, -100, -766
289, 187, -576
213, 466, -440
125, 980, -122
65, 1680, 287
5, 1996, 446
6, 1997, 508
6, 1997, 508
65, 1997, 430
254, 1818, 261
472, 1252, 219
-,-,-
311, -1393, -763
390, -1908, -827
477, -1998, -861
523, -1998, -848
516, -1998, -947
518, -1998, -1010
529, -1998, -1099
549, -1969, -1081
523, -1430, -1059
453, -717, -1045
317, -176, -919
212, 239, -747
75, 575, -680
-34, 853, -461
-34, 853, -461
-74, 1100, -122
-105, 1189, 79
-113, 1118, 225
-92, 1170, 468
-67, 1440, 416
3, 1695, 292
129, 1687, 173
302, 1422, 11
302, 1422, 11
477, 1066, -118
604, 737, -284
-,-,-
101, -747, -614
111, -923, -653
144, -1113, -699
202, -1380, -744
275, -1744, -748
356, -1996, -757
389, -1998, -815
401, -1998, -960
443, -1998, -1016
468, -1998, -1102
497, -1998, -1103
494, -1665, -1091
429, -977, -1016
300, -461, -872
186, -140, -760
112, 59, -652
45, 334, -619
-1, 640, -401
-51, 924, -44
-96, 1169, 191
-101, 1220, 277
-73, 1035, 398
-73, 1035, 398
10, 1047, 493
82, 1208, 411
150, 1281, 267
246, 1231, 134
330, 1124, -70
430, 939, -306
430, 939, -306
-,-,-
316, -1355, -549
373, -1679, -663
423, -1971, -706
456, -1998, -730
458, -1989, -774
477, -1998, -738
490, -1998, -656
491, -1998, -542
474, -1767, -710
426, -1131, -793
323, -568, -746
201, -304, -669
105, 4, -574
105, 4, -574
32, 350, -541
-18, 641, -364
-155, 967, -126
-247, 1105, 23
-284, 1348, 357
-246, 1552, 341
-145, 1619, 262
-6, 1392, 158
-6, 1392, 158
-,-,-
252, -1212, -798
299, -1576, -909
324, -1937, -920
401, -1998, -770
432, -1998, -662
411, -1998, -623
401, -1998, -664
416, -1998, -688
416, -1864, -633
384, -1430, -597
312, -1001, -725
240, -649, -810
240, -649, -810
150, -335, -802
55, 65, -683
0, 468, -473
-77, 734, -252
-114, 916, -58
-145, 1132, 8
-104, 1408, 211
-104, 1408, 211
-20, 1564, 337
102, 1781, 325
218, 1981, 168
401, 1942, -78
655, 1528, -301
907, 855, -459
1023, 176, -770
-,-,-
239, -1980, -658
229, -1998, -626
213, -1998, -799
201, -1998, -1019
207, -1998, -1128
269, -1998, -1004
327, -1932, -967
372, -1481, -1053
367, -946, -1094
299, -515, -982
199, -120, -867
84, 168, -759
-8, 357, -608
-65, 490, -357
-99, 632, -30
-119, 732, 205
-152, 928, 307
-152, 928, 307
-164, 1259, 369
-130, 1457, 270
-16, 1496, 242
134, 1340, 174
312, 1090, 62
477, 779, -8
590, 526, -138
590, 526, -138
679, 325, -335
-,-,-
142, -988, -703
247, -1298, -833
255, -1624, -976
303, -1961, -1050
357, -1998, -1052
394, -1998, -1010
428, -1998, -999
480, -1998, -793
468, -1998, -694
406, -1672, -806
312, -1093, -826
189, -610, -786
68, -325, -673
9, -98, -655
-15, 186, -543
-34, 421, -352
-57, 651, -114
-57, 651, -114
-89, 822, 34
-74, 941, 82
-33, 991, 161
27, 978, 338
27, 978, 338
98, 1068, 409
132, 1221, 201
176, 1202, 3
254, 1003, 9
